Shot Type,Environment,Prompt,Product Type
catalog_front,white_background,"draw this chair in a front photo slightly angled (3/4 view), centered, white background, no people, catalog furniture real life photography, soft shadows, 4k, dslr, 1:1 aspect ratio",chair
rear_view,white_background,"draw this chair from the rear view centered on white background showing the structure, no people, catalog furniture real life photography, soft shadows, 4k, dslr, 1:1 aspect ratio",chair
material_detail,white_background,"draw a macro close up photo of the chair material, texture and construction details, no people, shallow depth of field, furniture detail real life photography, 4k, dslr",chair
terrace_restaurant,mediterranean,"draw multiple chairs arranged around outdoor restaurant tables on a mediterranean terrace with ceramic tiles and plants, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",chair
poolside_setting,mediterranean,"draw multiple chairs arranged around outdoor dining tables beside a mediterranean hotel pool with sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",chair
sunset_atmosphere,mediterranean,"draw multiple chairs arranged around terrace dining tables during golden hour sunset with long shadows and warm light while preserving the true color of the furniture, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",chair
night_ambience,mediterranean,"draw multiple chairs arranged around terrace restaurant tables at night with warm ambient lighting and candles, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",chair
lifestyle_with_people,mediterranean,"draw multiple chairs around a mediterranean terrace restaurant table with people dining and interacting naturally, candid moment, lifestyle furniture real life photography, warm daylight, 4k, dslr, 16:9 aspect ratio",chair
catalog_front,white_background,"draw this sofa in a front photo slightly angled (3/4 view), centered, white background, no people, catalog furniture real life photography, soft shadows, 4k, dslr, 1:1 aspect ratio",sofa
rear_view,white_background,"draw this sofa from the rear view centered on white background showing the structure, no people, catalog furniture real life photography, soft shadows, 4k, dslr, 1:1 aspect ratio",sofa
material_detail,white_background,"draw a macro close up photo of the sofa upholstery texture and stitching details, no people, shallow depth of field, furniture detail real life photography, 4k, dslr",sofa
terrace_lounge,mediterranean,"draw a sofa placed on an outdoor mediterranean terrace lounge setting with cushions, plants and coffee tables, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",sofa
poolside_lounge,mediterranean,"draw a sofa in a mediterranean poolside lounge area with surrounding seating and sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",sofa
sunset_atmosphere,mediterranean,"draw a sofa on an outdoor mediterranean terrace during golden hour sunset with long shadows and warm light while preserving the true color of the furniture, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",sofa
night_ambience,mediterranean,"draw a sofa in an outdoor terrace lounge at night with warm ambient lighting and candles creating a relaxed atmosphere, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",sofa
lifestyle_with_people,mediterranean,"draw a sofa on a mediterranean terrace lounge with people relaxing and talking naturally on the sofa, candid moment, lifestyle furniture real life photography, warm daylight, 4k, dslr, 16:9 aspect ratio",sofa
catalog_front,white_background,"draw this stool in a front photo slightly angled centered on white background, no people, catalog furniture real life photography, soft shadows, 4k, dslr, 1:1 aspect ratio",stool
rear_view,white_background,"draw this stool from the rear view centered on white background showing the structure, no people, catalog furniture real life photography, 4k, dslr, 1:1 aspect ratio",stool
material_detail,white_background,"draw a macro close up photo of the stool seat material and frame structure, no people, shallow depth of field, furniture detail real life photography, 4k, dslr",stool
terrace_bar,mediterranean,"draw multiple stools aligned along an outdoor mediterranean terrace bar counter with wooden surfaces and plants, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",stool
poolside_bar,mediterranean,"draw multiple stools aligned along a mediterranean poolside bar counter with sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",stool
sunset_atmosphere,mediterranean,"draw multiple stools aligned along an outdoor terrace bar during golden hour sunset with long shadows and warm light while preserving the true color of the furniture, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",stool
night_ambience,mediterranean,"draw multiple stools aligned along an outdoor terrace bar at night with warm ambient lighting and candles, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",stool
lifestyle_with_people,mediterranean,"draw multiple stools along a mediterranean terrace bar with people sitting and enjoying drinks, candid social moment, lifestyle furniture real life photography, warm daylight, 4k, dslr, 16:9 aspect ratio",stool
catalog_front,white_background,"draw this lounge chair in a front photo slightly angled (3/4 view), centered, white background, no people, catalog furniture real life photography, soft shadows, 4k, dslr, 1:1 aspect ratio",lounge
rear_view,white_background,"draw this lounge chair from the rear view centered on white background showing the structure, no people, catalog furniture real life photography, soft shadows, 4k, dslr, 1:1 aspect ratio",lounge
material_detail,white_background,"draw a macro close up photo of the lounge chair cushion fabric and frame material texture, no people, shallow depth of field, furniture detail real life photography, 4k, dslr",lounge
terrace_lounge,mediterranean,"draw multiple lounge chairs arranged in an outdoor mediterranean terrace relaxation area with cushions and plants, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",lounge
poolside_relax,mediterranean,"draw multiple lounge chairs arranged beside a mediterranean hotel pool with towels and sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",lounge
sunset_atmosphere,mediterranean,"draw multiple lounge chairs arranged on a terrace during golden hour sunset with long shadows and warm light while preserving the true color of the furniture, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",lounge
night_ambience,mediterranean,"draw multiple lounge chairs arranged on a mediterranean terrace at night with warm ambient lighting and candles, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",lounge
lifestyle_with_people,mediterranean,"draw multiple lounge chairs on a mediterranean terrace relaxation area with a person resting comfortably in one of them, candid moment, lifestyle furniture real life photography, warm daylight, 4k, dslr, 16:9 aspect ratio",lounge
catalog_front,white_background,"draw this coffee table in a front photo slightly angled (3/4 view), centered, white background, no people, catalog furniture real life photography, soft shadows, 4k, dslr, 1:1 aspect ratio",coffee_table
rear_view,white_background,"draw this coffee table from the rear view centered on white background showing the structure and legs, no people, catalog furniture real life photography, 4k, dslr, 1:1 aspect ratio",coffee_table
material_detail,white_background,"draw a macro close up photo of the coffee table surface material and edge details, no people, shallow depth of field, furniture detail real life photography, 4k, dslr",coffee_table
terrace_lounge,mediterranean,"draw this coffee table placed in an outdoor mediterranean terrace lounge surrounded by sofas and lounge chairs, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",coffee_table
poolside_lounge,mediterranean,"draw this coffee table in a mediterranean poolside lounge area surrounded by seating with sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",coffee_table
sunset_atmosphere,mediterranean,"draw this coffee table on an outdoor mediterranean terrace lounge during golden hour sunset with long shadows and warm light while preserving the true color of the furniture, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",coffee_table
night_ambience,mediterranean,"draw this coffee table on a mediterranean terrace lounge at night with warm ambient lighting and candles, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",coffee_table
lifestyle_with_people,mediterranean,"draw this coffee table in a mediterranean terrace lounge scene with people sitting around it having drinks and conversation, candid moment, lifestyle furniture real life photography, warm daylight, 4k, dslr, 16:9 aspect ratio",coffee_table
newyork_terrace,new_york,"draw multiple chairs on a new york city rooftop terrace with skyline view during the day, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",chair
newyork_terrace,new_york,"draw multiple stools on a new york city rooftop terrace bar at night with city lights in the background, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",stool
terrace_restaurant,florida_coast,"draw multiple chairs arranged around outdoor restaurant tables on a florida coastal terrace with light stone flooring and tropical plants, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",chair
poolside_setting,florida_coast,"draw multiple chairs arranged around outdoor dining tables beside a florida coastal hotel pool with palm trees and sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",chair
sunset_atmosphere,florida_coast,"draw multiple chairs arranged around terrace dining tables on a florida coast during golden hour sunset with long shadows and warm light while preserving true furniture color, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",chair
night_ambience,florida_coast,"draw multiple chairs arranged around terrace restaurant tables on a florida coast at night with warm ambient lighting and soft coastal atmosphere, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",chair
terrace_lounge,florida_coast,"draw a sofa placed on an outdoor florida coastal terrace lounge with tropical plants and light materials, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",sofa
poolside_lounge,florida_coast,"draw a sofa in a florida coastal poolside lounge area with palm trees and sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",sofa
sunset_atmosphere,florida_coast,"draw a sofa on a florida coastal terrace during golden hour sunset with long shadows and warm light while preserving true furniture color, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",sofa
night_ambience,florida_coast,"draw a sofa in a florida coastal terrace lounge at night with warm ambient lighting and relaxed seaside atmosphere, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",sofa
terrace_bar,florida_coast,"draw multiple stools aligned along an outdoor florida coastal terrace bar with light wood surfaces and tropical plants, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",stool
poolside_bar,florida_coast,"draw multiple stools aligned along a florida coastal poolside bar with palm trees and sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",stool
terrace_lounge,florida_coast,"draw multiple lounge chairs arranged in an outdoor florida coastal relaxation area with palm trees and light fabrics, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",lounge
poolside_relax,florida_coast,"draw multiple lounge chairs arranged beside a florida coastal hotel pool with towels and sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",lounge
terrace_lounge,florida_coast,"draw this coffee table placed in an outdoor florida coastal terrace lounge surrounded by sofas and lounge chairs with tropical plants, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",coffee_table
terrace_restaurant,malibu,"draw multiple chairs arranged around outdoor restaurant tables on a malibu coastal terrace with ocean view and natural wood decking, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",chair
poolside_setting,malibu,"draw multiple chairs arranged around outdoor dining tables beside a malibu villa pool overlooking the ocean with sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",chair
sunset_atmosphere,malibu,"draw multiple chairs arranged around terrace dining tables in malibu during golden hour sunset with long shadows and warm light while preserving true furniture color, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",chair
night_ambience,malibu,"draw multiple chairs arranged around terrace restaurant tables in malibu at night with warm ambient lighting and ocean atmosphere, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",chair
terrace_lounge,malibu,"draw a sofa placed on a malibu coastal villa terrace lounge with ocean view and natural materials, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",sofa
poolside_lounge,malibu,"draw a sofa in a malibu villa poolside lounge overlooking the ocean with sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",sofa
sunset_atmosphere,malibu,"draw a sofa on a malibu terrace during golden hour sunset with long shadows and warm light while preserving true furniture color, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",sofa
night_ambience,malibu,"draw a sofa in a malibu terrace lounge at night with warm ambient lighting and relaxed coastal atmosphere, no people present, lifestyle furniture real life photography, 4k, dslr, 16:9 aspect ratio",sofa
terrace_bar,malibu,"draw multiple stools aligned along a malibu terrace bar with ocean view and natural wood finishes, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",stool
poolside_bar,malibu,"draw multiple stools aligned along a malibu poolside bar overlooking the ocean with sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",stool
terrace_lounge,malibu,"draw multiple lounge chairs arranged on a malibu coastal terrace relaxation area with ocean view and neutral tones, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",lounge
poolside_relax,malibu,"draw multiple lounge chairs arranged beside a malibu villa pool overlooking the ocean with towels and sunlight reflections on water, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",lounge
terrace_lounge,malibu,"draw this coffee table placed in a malibu coastal terrace lounge surrounded by sofas and lounge chairs with ocean view, no people present, lifestyle furniture real life photography, natural daylight, 4k, dslr, 16:9 aspect ratio",coffee_table
